text,label,cleaned_text
But who knows ?,noHate,but who knows ?
Thank you for sharing your free and peaceful home while you have one .,noHate,thank you for sharing your free and peaceful home while you have one .
Who knows how much longer that will be for any of us. ~,noHate,who knows how much longer that will be for any of us.
"I bet all the Ted Pike stuff is on the ADL hit list , look for that to start disappearing down the memory hole .",noHate,"i bet all the ted pike stuff is on the adl hit list , look for that to start disappearing down the memory hole ."
"You know , wheat and corn grow pretty fast .",noHate,"you know , wheat and corn grow pretty fast ."
"Then there 's beans , potatoes , yams , ... ?",noHate,"then there s beans , potatoes , yams , ... ?"
"My Kansas ancestors got by during the Great Depression without eating cow dung , and everything was covered in dust then .",noHate,"my kansas ancestors got by during the great depression without eating cow dung , and everything was covered in dust then ."
It seems to me that nature is taking out the trash .,noHate,it seems to me that nature is taking out the trash .
Though starvation is a horrible way to die .,noHate,though starvation is a horrible way to die .
Just yesterday on t.v. there was some MTV thing where a Western girl was visiting a family in India .,noHate,just yesterday on t.v. there was some mtv thing where a western girl was visiting a family in india .
"The Indian teenager was showing the Caucasian American girl how to dissolve cow dung in water , and then use a broom to spread the filth all over the floor of their house .",relation,"the indian teenager was showing the caucasian american girl how to dissolve cow dung in water , and then use a broom to spread the filth all over the floor of their house ."
"The Western teen was naturally grossed out , and then they cut to different scene .",noHate,"the western teen was naturally grossed out , and then they cut to different scene ."
"Certain cultural practices just tell you volumes about a people , do n't they ?",relation,"certain cultural practices just tell you volumes about a people , do nt they ?"
It will be the same here when the goodies run out .,noHate,it will be the same here when the goodies run out .
Absolute stupidity !,noHate,absolute stupidity !
Are there any whites left in that craphole or have they all been killed ?,hate,are there any whites left in that craphole or have they all been killed ?
Beeline TV - Watch Online TV - Free Internet TV - Live TV Channels This has got a number of Japanese TV links for streaming .,noHate,beeline tv  watch online tv  free internet tv  live tv channels this has got a number of japanese tv links for streaming .
I'm actually a big fan of Subway but I always laugh when I read this .,noHate,im actually a big fan of subway but i always laugh when i read this .
They neglect to mention that Jared also ran about 30 miles a day ...,noHate,they neglect to mention that jared also ran about  miles a day ...
"White Rage , it 's what 's for dinner !!",noHate,"white rage , it s what s for dinner !!"
"Do ` F * ck with our families , buckwheat !!",noHate,"do  f  ck with our families , buckwheat !!"
YouTube - Hell 's coming with me,noHate,youtube  hell s coming with me
Free Edgar Steele has announced the start of an official fundraising campaign with full support of Cyndi Steele : Fundraising Campaign | Free Edgar Steele,noHate,free edgar steele has announced the start of an official fundraising campaign with full support of cyndi steele  fundraising campaign  free edgar steele
A man in charge of an organization that is so hated like the KKK should have been more careful .,noHate,a man in charge of an organization that is so hated like the kkk should have been more careful .
He of all people should have known to what extent the Federal Government will go to have people like him thrown in prison .,noHate,he of all people should have known to what extent the federal government will go to have people like him thrown in prison .
"There is no different versions of bad when it comes to race traitors , if you date a non white it is bad , no matter if the non-white is asian , black or arab.",hate,"there is no different versions of bad when it comes to race traitors , if you date a non white it is bad , no matter if the nonwhite is asian , black or arab."
"I know , it 's disgusting .",noHate,"i know , it s disgusting ."
I ca n't fathom seeing all those brainless whites along with their negro counterparts worshipping Obama .,hate,i ca nt fathom seeing all those brainless whites along with their negro counterparts worshipping obama .
"Also , those stupid white women who watch Oprah and not realize the fact that Oprah is very racist .",noHate,"also , those stupid white women who watch oprah and not realize the fact that oprah is very racist ."
She was probably the victim of a groid rage rape also .,hate,she was probably the victim of a groid rage rape also .
Have to follow up on this one !,noHate,have to follow up on this one !
Where 's Lenny Pitts ' article on this one ?,noHate,where s lenny pitts  article on this one ?
We knew that report was a lie the entire time .,noHate,we knew that report was a lie the entire time .
Why did it take so long to release it ?,noHate,why did it take so long to release it ?
Had to make it up that is why,noHate,had to make it up that is why
"Perhaps I should walk back into my H.S. when it starts Monday and get on the P.A. system and say I want to tie all * * * * * * s to the back of my car and drag them across the ground till they die , and then say I 'm joking .",hate,"perhaps i should walk back into my h.s. when it starts monday and get on the p.a. system and say i want to tie all       s to the back of my car and drag them across the ground till they die , and then say i m joking ."
I hope I see the day when thease worthless pieces of crap are OUT OF HERE .,hate,i hope i see the day when thease worthless pieces of crap are out of here .
"All the jews I have ever known will do anything for money , and all I can say is there are no good jews",hate,"all the jews i have ever known will do anything for money , and all i can say is there are no good jews"
Let mother nature evolve these people naturally because no amount of money or aid is going to drag these ' things ' into the civilized world where they serve absolutely no purpose .,hate,let mother nature evolve these people naturally because no amount of money or aid is going to drag these  things  into the civilized world where they serve absolutely no purpose .
":hide And if you 're around Knights of Columbus or their Roman Catholic brethern , keep a close hold on your young children , particularly the boys .",noHate,"hide and if you re around knights of columbus or their roman catholic brethern , keep a close hold on your young children , particularly the boys ."
"DR Congo troops accused of rapes Government troops in the Democratic Republic of Congo carry out most of the rapes of civilians caught up in the war with rebel groups , a rights group says .",noHate,"dr congo troops accused of rapes government troops in the democratic republic of congo carry out most of the rapes of civilians caught up in the war with rebel groups , a rights group says ."
US-based Human Rights Watch says thousands have been raped by rebels and soldiers in the past six months .,noHate,usbased human rights watch says thousands have been raped by rebels and soldiers in the past six months .
http://news.bbc.co.uk/2/hi/africa/8130746.stm,noHate,
What do they do with them ?,noHate,what do they do with them ?
"It 's mind boggling to me , I mean they just cut it off and run off with it in their hands ?",noHate,"it s mind boggling to me , i mean they just cut it off and run off with it in their hands ?"
Then what ?,noHate,then what ?
"She probably gets the food for her food kiosk from the garbage site , and she does n't want to carry it far .",noHate,"she probably gets the food for her food kiosk from the garbage site , and she does nt want to carry it far ."
Something tells me that you 're sitting in the wrong section of the Stormfront bus .,noHate,something tells me that you re sitting in the wrong section of the stormfront bus .
"I believe , judging from your other posts , that you belong more towards the back .",noHate,"i believe , judging from your other posts , that you belong more towards the back ."
And this is why SA went from First World under Botha 's rule ( deKlerk does n't count ) to a Third World begger horde .,hate,and this is why sa went from first world under botha s rule  deklerk does nt count  to a third world begger horde .
It 's embarassing .,noHate,it s embarassing .
Just shows how thick they actually are one farmer-one bullet they will just end up starving and asking WHITES to feed them,hate,just shows how thick they actually are one farmerone bullet they will just end up starving and asking whites to feed them
Precisely!,noHate,precisely!
Too bad 98 percent of public school kids are being taught everything BUT the truth .,noHate,too bad  percent of public school kids are being taught everything but the truth .
No doubt they 'll be coming up with chocolate-colored Leprechauns and a Chinese flavored Uncle Sam 's too .,hate,no doubt they ll be coming up with chocolatecolored leprechauns and a chinese flavored uncle sam s too .
i think the main problem with our movement is that we 're not subtle in our approach. we need to use words that do n't promote controversy. instead of saying racial purity we use words like idenity .,noHate,i think the main problem with our movement is that we re not subtle in our approach. we need to use words that do nt promote controversy. instead of saying racial purity we use words like idenity .
Whites in all their glory against impossibly large hordes of non-whites .,hate,whites in all their glory against impossibly large hordes of nonwhites .
No wonder Lord Of The Rings is so hated by our social engineers .,noHate,no wonder lord of the rings is so hated by our social engineers .
YouTube - & #x202a ; Rohirrim charges at Helmsdeep & #x202c ; & lrm ;,noHate,youtube   xa ; rohirrim charges at helmsdeep  xc ;  lrm ;
Very informative .,noHate,very informative .
I 'll have to reread it a few more times to get it clear but thanks for posting this .,noHate,i ll have to reread it a few more times to get it clear but thanks for posting this .
I heard that some black people pretend to be ghetto because they have no money and they live in the ghetto .,noHate,i heard that some black people pretend to be ghetto because they have no money and they live in the ghetto .
But that 's just a rumour,noHate,but that s just a rumour
"I think that World Star Hip Hop should be mandatory viewing for every single white person on the planet , period .",noHate,"i think that world star hip hop should be mandatory viewing for every single white person on the planet , period ."
The raw footage of these beasts in their moments of candor is so much more revealing and persuasive for helping our fellow white brothers and sisters see the truth than a thousand books could ever be .,hate,the raw footage of these beasts in their moments of candor is so much more revealing and persuasive for helping our fellow white brothers and sisters see the truth than a thousand books could ever be .
This disgusting negro makes us ( white people ) look bad .,hate,this disgusting negro makes us  white people  look bad .
He should be flagged and reported. skyyjohn 's Channel - YouTube EstablishedMen.com sent me on a blind date !,hate,he should be flagged and reported. skyyjohn s channel  youtube establishedmen.com sent me on a blind date !
- YouTube,noHate,youtube
Good thing there are the zionist police to keep me from coming and taking everything you have earned with your arrogance .,noHate,good thing there are the zionist police to keep me from coming and taking everything you have earned with your arrogance .
"I actually have a college degree , but choose not to make a living with it because I cannot sit at a desk in front of a computer all day .",noHate,"i actually have a college degree , but choose not to make a living with it because i cannot sit at a desk in front of a computer all day ."
It makes me tired .,noHate,it makes me tired .
The cologne was under the seat .,noHate,the cologne was under the seat .
Thieves and liars always think you 're stealing and lying .,noHate,thieves and liars always think you re stealing and lying .
& #x202a ; Father And Son Assault Leads To Death & #x202c ; & rlm ; - YouTube,noHate,xa ; father and son assault leads to death  xc ;  rlm ;  youtube
"Many years ago maybe , there 's no ammo for them anyway , rather send a donation of a few thousand M4 's",noHate,"many years ago maybe , there s no ammo for them anyway , rather send a donation of a few thousand m s"
More black-on-white crime : YouTube - Black Students Attack White Man For Eating Dinner With Black Man YouTube - Black Attack On White Hopkins Researcher Planned,noHate,more blackonwhite crime  youtube  black students attack white man for eating dinner with black man youtube  black attack on white hopkins researcher planned
"More Negro rioting , this time at a Black Panther Party rally : YouTube - NYPD Vs Black People , ( Macon st riot ) YouTube - NBPP vs NYPD",noHate,"more negro rioting , this time at a black panther party rally  youtube  nypd vs black people ,  macon st riot  youtube  nbpp vs nypd"
YouTube - Black savages bake puppy alive !!,noHate,youtube  black savages bake puppy alive !!
YouTube - DOG SET ON FIRE WHILE GIVING BIRTH YouTube - Animal Abuse at Child Care Center In Chicago Ghetto,noHate,youtube  dog set on fire while giving birth youtube  animal abuse at child care center in chicago ghetto
Immigrants will go to White countries for other reasons than just economics .,noHate,immigrants will go to white countries for other reasons than just economics .
Maybe they will be resettled deliberately as refugees or maybe they will come for the women like the chinese men are doing .,hate,maybe they will be resettled deliberately as refugees or maybe they will come for the women like the chinese men are doing .
Absolute Vodka as a company is anti White as they 're a sponsor for RuPaul 's Drag race and a huge advocate for the LGBT community as well as is the first company to ever sponsor a gay party back in the 70 's : Behind the Scenes of Absolut Vodka Cocktail Perfected - YouTube,noHate,absolute vodka as a company is anti white as they re a sponsor for rupaul s drag race and a huge advocate for the lgbt community as well as is the first company to ever sponsor a gay party back in the  s  behind the scenes of absolut vodka cocktail perfected  youtube
i joined this site just a few hours ago but ive been visiting for a while before hand .. very interesting topics things you just dont see in mainstream anymore .. actualy what the hell am i saying never ever seen in main stream EVER ... its a damn shame ...,noHate,i joined this site just a few hours ago but ive been visiting for a while before hand .. very interesting topics things you just dont see in mainstream anymore .. actualy what the hell am i saying never ever seen in main stream ever ... its a damn shame ...
All i have to say is none of this crap that is happening in the world is going to change unless people on a large scale actually stand up and say no we have had enough and drag the scum in the streets and deal with them in a most violent way .,hate,all i have to say is none of this crap that is happening in the world is going to change unless people on a large scale actually stand up and say no we have had enough and drag the scum in the streets and deal with them in a most violent way .
"Put your cursor on the American Dissidents Voices tab and click on it , not the links in the menu which drops down .",noHate,"put your cursor on the american dissidents voices tab and click on it , not the links in the menu which drops down ."
I tried to find this crappy commercial on YouTube when it first came out so I could post it here .,noHate,i tried to find this crappy commercial on youtube when it first came out so i could post it here .
Anything goes these days to make Whites look like total jack asses .,noHate,anything goes these days to make whites look like total jack asses .
Look at the preservative crap they are eating too .,noHate,look at the preservative crap they are eating too .
Most of my food is meat and produce .,noHate,most of my food is meat and produce .
Never ever do our groceries look like this .,noHate,never ever do our groceries look like this .
I do n't even like buying cartons of juice !,noHate,i do nt even like buying cartons of juice !
This is the biggest problem which faces our race today as more non white immigrants move in whites dont want to live in or near their ghettos .,noHate,this is the biggest problem which faces our race today as more non white immigrants move in whites dont want to live in or near their ghettos .
"We all know that when their are too many ethnics , the neighbourhood soon turn 's into a slum .",hate,"we all know that when their are too many ethnics , the neighbourhood soon turn s into a slum ."
The media also promotes race mixing as cool !,noHate,the media also promotes race mixing as cool !
I have seen young white girl 's and boy 's acting like blacks with their baggy pant 's and their hip hop .,noHate,i have seen young white girl s and boy s acting like blacks with their baggy pant s and their hip hop .
Soon in their minds it is ok to date them and have children with them thus polluting our great race and pushing us further toward extinction .,hate,soon in their minds it is ok to date them and have children with them thus polluting our great race and pushing us further toward extinction .
"Bessie Mae Whyman The Orange County grand jury indicted Anthony Darnell Wade , 26 , of Los Angeles last year of several felony counts .",noHate,"bessie mae whyman the orange county grand jury indicted anthony darnell wade ,  , of los angeles last year of several felony counts ."
"[ UPDATED : ] Bessie Whyman , OC Homicide No. 3 : 84-Year-Old Robbed , Tortured and Murdered - Orange County News - Navel Gazing",noHate,"updated   bessie whyman , oc homicide no.   yearold robbed , tortured and murdered  orange county news  navel gazing"
"Video: Black pack attack http://www.worldstarhiphop.com/video ... tI6vq3R26UYif8 Pack of blacks attack teen White girl in restaurant , drag her by her hair into the parking lot , beat her ; refuse to allow her back into the restaurant , continue to beat her while black onlookers laugh at her humiliation , pain and suffering .",noHate,"video black pack attack  ... tivqruyif pack of blacks attack teen white girl in restaurant , drag her by her hair into the parking lot , beat her ; refuse to allow her back into the restaurant , continue to beat her while black onlookers laugh at her humiliation , pain and suffering ."
More black-on-white hate crime videos are posted here : http://ethniccrime.blogspot.com/p/ra...-on-video.html,noHate,more blackonwhite hate crime videos are posted here
"David Allen Snyder , age 26 , died on October 18 , 2009 at his residence in Findlay , Ohio R.I.P. David Allen Snyder Obituary at Coldern Crates Funeral Homes The jury took only about four hours Tuesday afternoon and early evening to convict Cornelius Patterson Junior of the October , 2009 murder of 26-year-old David Snyder in a Jennifer Lane apartment complex where both men lived .",noHate,"david allen snyder , age  , died on october  ,  at his residence in findlay , ohio r.i.p. david allen snyder obituary at coldern crates funeral homes the jury took only about four hours tuesday afternoon and early evening to convict cornelius patterson junior of the october ,  murder of yearold david snyder in a jennifer lane apartment complex where both men lived ."
1330 WFIN News with Tom Sheldon and Scott Jennings - Findlay Ohio,noHate,wfin news with tom sheldon and scott jennings  findlay ohio
"This thread has reduced me to tears so many times that I sometimes avoid it , and yet i thank the OP for it",noHate,"this thread has reduced me to tears so many times that i sometimes avoid it , and yet i thank the op for it"
"Thor Soderberg , 43 , was shot and killed at 61st and Racine .",noHate,"thor soderberg ,  , was shot and killed at st and racine ."
White Chicago Cop Killed With His Own Gun In Attack From Behind - NNN Reporters Newsroom Forum R.I.P.,noHate,white chicago cop killed with his own gun in attack from behind  nnn reporters newsroom forum r.i.p.
"A mentally-ill Orthodox cantor who told jurors he was `` The Michael Jackson of Jewish music '' was sentenced in Manhattan yesterday to at least a year in prison for swindling a Washington Heights woman out of $ 36,000 .",noHate,"a mentallyill orthodox cantor who told jurors he was  the michael jackson of jewish music  was sentenced in manhattan yesterday to at least a year in prison for swindling a washington heights woman out of  , ."
"Victim Judy Burstein , 55 , had met the singer , Michoel Streicher , 50 , at his performances five years ago in Rockland County , Brooklyn and Lakewood , NJ .",noHate,"victim judy burstein ,  , had met the singer , michoel streicher ,  , at his performances five years ago in rockland county , brooklyn and lakewood , nj ."
"Streicher posed as a rabbi , then took her money -- promising to use it to purchase a torah , but instead pocketing it , a jury found in convicting him of grand larceny in April .",noHate,"streicher posed as a rabbi , then took her money  promising to use it to purchase a torah , but instead pocketing it , a jury found in convicting him of grand larceny in april ."
Just to make it clear to someone who does not bother to read the attached links .,noHate,just to make it clear to someone who does not bother to read the attached links .
This is the animal who raped and murdered the six year old white child above .,noHate,this is the animal who raped and murdered the six year old white child above .
May all these victims of the `` war on whites '' rest in peace .,noHate,may all these victims of the  war on whites  rest in peace .
I pray that their souls are in the heavens and their families are healing in spirit .,noHate,i pray that their souls are in the heavens and their families are healing in spirit .
"Whites have the following Too many abortions , too many mixed marriages , too many no kids marriages , and too many liberals .",hate,"whites have the following too many abortions , too many mixed marriages , too many no kids marriages , and too many liberals ."
We need to eliminate all of those elements from the white race .,hate,we need to eliminate all of those elements from the white race .
"YouTube - Mayor of Boston sends welcome to gay/transgender youth event Kids attend prom from ' sexual hell ' You wo n't believe how children as young as 12 years old partied Family advocates are outraged by a prom held at Boston City Hall that was open to children apparently as young as 12 featuring crossdressers , homosexual heavy petting , suspected drug use and a leather-clad doorman who teaches sexual bondage classes .",noHate,"youtube  mayor of boston sends welcome to gaytransgender youth event kids attend prom from  sexual hell  you wo nt believe how children as young as  years old partied family advocates are outraged by a prom held at boston city hall that was open to children apparently as young as  featuring crossdressers , homosexual heavy petting , suspected drug use and a leatherclad doorman who teaches sexual bondage classes ."
"Children from middle schools and high schools across Massachusetts on May 9 attended a Youth Pride Day event ending with a prom inside of Boston City Hall sponsored by the Boston Alliance of Gay , Lesbian , Bisexual , Transgender Youth , or BAGLY , a group seated on the Massachusetts Commission for GLBT Youth ..",noHate,"children from middle schools and high schools across massachusetts on may  attended a youth pride day event ending with a prom inside of boston city hall sponsored by the boston alliance of gay , lesbian , bisexual , transgender youth , or bagly , a group seated on the massachusetts commission for glbt youth .."
http://www.wnd.com/index.php ? fa = PAGE.view & pageId = 100806,noHate,fa  page.view  pageid
"just saw a hershey 's commercial on tv , ca n't find it on jewtube shows a White woman happily sharing candy with some mop headed groid male on an escalator guess I wo n't be buying that stuff ever again",hate,"just saw a hershey s commercial on tv , ca nt find it on jewtube shows a white woman happily sharing candy with some mop headed groid male on an escalator guess i wo nt be buying that stuff ever again"
I notice it does n't say if the kids were jews or not .,noHate,i notice it does nt say if the kids were jews or not .
If they were jew pieces of garbage who the hell cares what happened to them .,hate,if they were jew pieces of garbage who the hell cares what happened to them .
Sad it happens more and more they want to take ours but what do they think i want to date one of those negro women,hate,sad it happens more and more they want to take ours but what do they think i want to date one of those negro women
And with that I will bid you all good night .,noHate,and with that i will bid you all good night .
I 'm glad we were able to get back to NS in the NS thread .,noHate,i m glad we were able to get back to ns in the ns thread .
I'll edit out a few of the most revealing images .,noHate,ill edit out a few of the most revealing images .
On Stormfront usually we try to respect feelings of those who find scantily dressed ( bikini etc ) images or suggestive poses tacky .,noHate,on stormfront usually we try to respect feelings of those who find scantily dressed  bikini etc  images or suggestive poses tacky .
"Most likely Putin was not behind any of the killings , but certain criminal gangs from Caucasus or corrupt members in Russian military/security agencies .",noHate,"most likely putin was not behind any of the killings , but certain criminal gangs from caucasus or corrupt members in russian militarysecurity agencies ."
"Dmitriy Hvorostovskiy Prince Yeletsky 's ( `` The Queen of Spades '' , Tchaikovsky ) -Dmitri Hvorostovsky at the Metropolitan Opera ( 1998 ) YouTube - Ya vas lyublyu - Dmitri Hvorostovsky Renee Fleming and Dmitri Hvorostovsky perform the final scene of Tchaikovsky 's `` Yevgeny Onegin . '' ( Part I ) YouTube - Yevgeny Onegin - Final Scene - Hvorostovsky/Fleming - I Renee Fleming and Dmitri Hvorostovsky perform the final scene of Tchaikovsky 's `` Yevgeny Onegin . '' ( Part II ) YouTube - Yevgeny Onegin - Final Scene - Hvorostovsky/Fleming II Renee Fleming ( as Tatiana ) , Dmitri Hvorostovsky - Eugene Onegin 's first act aria from Tchaikovsky 's opera .",noHate,"dmitriy hvorostovskiy prince yeletsky s   the queen of spades  , tchaikovsky  dmitri hvorostovsky at the metropolitan opera    youtube  ya vas lyublyu  dmitri hvorostovsky renee fleming and dmitri hvorostovsky perform the final scene of tchaikovsky s  yevgeny onegin .   part i  youtube  yevgeny onegin  final scene  hvorostovskyfleming  i renee fleming and dmitri hvorostovsky perform the final scene of tchaikovsky s  yevgeny onegin .   part ii  youtube  yevgeny onegin  final scene  hvorostovskyfleming ii renee fleming  as tatiana  , dmitri hvorostovsky  eugene onegin s first act aria from tchaikovsky s opera ."
"YouTube - Dmitri Hvorostovsky - Eugene Onegin - Onegin \ \ \ ' s Act I aria Renee Fleming and Dmitri Hvorostovsk - Lippen Schweigen ( Lehar , `` Die Lustige Witwe '' ) YouTube - Lippen Schweigen - Hvorostovsky & Fleming `` Offtop '' bonuses : Hvorostovsky - `` Troika '' YouTube - Hvorostovsky - Troika Dmitri Hvorostovsky - `` Temnaya Noch '' YouTube - Temnaya Noch Dmitri Hvorostovsky - `` Little Bell '' YouTube - Hvorostovsky - Little Bell Dmitri Hvorostovsky - `` Moscow Nights '' YouTube - Dmitri Hvorostovsky Moscow Nights",noHate,"youtube  dmitri hvorostovsky  eugene onegin  onegin     s act i aria renee fleming and dmitri hvorostovsk  lippen schweigen  lehar ,  die lustige witwe   youtube  lippen schweigen  hvorostovsky  fleming  offtop  bonuses  hvorostovsky   troika  youtube  hvorostovsky  troika dmitri hvorostovsky   temnaya noch  youtube  temnaya noch dmitri hvorostovsky   little bell  youtube  hvorostovsky  little bell dmitri hvorostovsky   moscow nights  youtube  dmitri hvorostovsky moscow nights"
jews have white skin does that make them white ?,noHate,jews have white skin does that make them white ?
She is not white .,noHate,she is not white .
Her eyes and nose and skin tone give it away .,noHate,her eyes and nose and skin tone give it away .
Her skin tone is not white to my eyes .,noHate,her skin tone is not white to my eyes .
The site become legendary www.ns-wp.cc has again opened video section is accessible http://ns-wp.cc/index.php ? option = com _ jdownloads & Itemid = 5 & task = view.download & cid = 2 New Year 's congratulation http://ns-wp.cc/index.php ? option = com _ jdownloads & Itemid = 5 & task = view.download & cid = 3 Flying untermench,noHate,the site become legendary www.nswp.cc has again opened video section is accessible  ? option  com  jdownloads  itemid    task  view.download  cid   new year s congratulation  ? option  com  jdownloads  itemid    task  view.download  cid   flying untermench
"I was happy to see only whites in that movie , though there could 've been a few jews or half jews there but I would n't know .",noHate,"i was happy to see only whites in that movie , though there could ve been a few jews or half jews there but i would nt know ."
"somebody``hcf''calledputin``ahero''!lololol!This``hero''finallytransformedformersovietjewnion in ``russian''judea!In this misery-torn country-are there-70 officially billionaries , tens f thousands millionaries , and tens of millions of poor and miserable who look for their pittance at the garbage places !",hate,"somebodyhcfcalledputinahero!lololol!thisherofinallytransformedformersovietjewnion in russianjudea!in this miserytorn countryare there officially billionaries , tens f thousands millionaries , and tens of millions of poor and miserable who look for their pittance at the garbage places !"
"Yes, she was born in Svrljig ( 11 .",noHate,"yes, she was born in svrljig   ."
"February 1954. ) , and she graduated from the Faculty of Dramatic Arts of the University of Belgrade as an actor .",noHate,"february .  , and she graduated from the faculty of dramatic arts of the university of belgrade as an actor ."
"Unfortunately , she starred in some partisan films ...",noHate,"unfortunately , she starred in some partisan films ..."
on a TV show yesterday regardin crime by foreigners in Russia a black man stood up and proclaimed that crime has no colour or race. every vigoursoly clapped,noHate,on a tv show yesterday regardin crime by foreigners in russia a black man stood up and proclaimed that crime has no colour or race. every vigoursoly clapped
"Yes, these figures sound correct and are in line with the impression I got there .",noHate,"yes, these figures sound correct and are in line with the impression i got there ."
"I guess the term `` blond '' is somewhat subjective , but to a Swede the vast majority of Spaniards are brunettes .",noHate,"i guess the term  blond  is somewhat subjective , but to a swede the vast majority of spaniards are brunettes ."
"Again, I can only offer what I have read .",noHate,"again, i can only offer what i have read ."
"I have read a 70 -/ + million figure , 92.5 million figure and an estimate of over 100 million figure So I compromised at 90 .",noHate,"i have read a    million figure , . million figure and an estimate of over  million figure so i compromised at  ."
Please excuse my ignorance .,noHate,please excuse my ignorance .
"they played this on fox news today.said she went ape schmidt , no pun intended , because they had no baffrooms.fox news sucks but at least people get a couple seconds of real news ......... secondly , ive never heard of a sheboon before.a new specie , from the chimpout family ?",hate,"they played this on fox news today.said she went ape schmidt , no pun intended , because they had no baffrooms.fox news sucks but at least people get a couple seconds of real news ......... secondly , ive never heard of a sheboon before.a new specie , from the chimpout family ?"
I think there is more threat from Russians than from Jews .,hate,i think there is more threat from russians than from jews .
There are really few Jews and millions of those bastards on the body of our country .,hate,there are really few jews and millions of those bastards on the body of our country .
5,noHate,
"According to the Russian census there are only some tens of thousands of Chinese in Russia , but it is thought that groups like the Chinese avoided inclusion in the census .",noHate,"according to the russian census there are only some tens of thousands of chinese in russia , but it is thought that groups like the chinese avoided inclusion in the census ."
2508,noHate,
this gonna be a long post I see - konavle - look better - it is ours on this map ... small land but important,noHate,this gonna be a long post i see  konavle  look better  it is ours on this map ... small land but important
i hope our patriots will throu eggs at them and will say some thing like get out to the jungle or i think our coach will make them to go to the trainnig at minus - 30C or - 50F that they uuuu will never be able to play agane and will fly to africa after first tranning 2508,hate,i hope our patriots will throu eggs at them and will say some thing like get out to the jungle or i think our coach will make them to go to the trainnig at minus  c or  f that they uuuu will never be able to play agane and will fly to africa after first tranning
Here is my old school picture i think it was in 1994 .,relation,here is my old school picture i think it was in  .
I hope such classes will be the future of all Russia,relation,i hope such classes will be the future of all russia
I pray so too .,noHate,i pray so too .
"I could never picture the site of one of the women of the Holy Rus shacking up with some Islamic mud from that fithy , impoverished , and godforsaken mountainous * * * * hole !",hate,"i could never picture the site of one of the women of the holy rus shacking up with some islamic mud from that fithy , impoverished , and godforsaken mountainous     hole !"
"That's good I wish there was someone standing for my interests where I live , but as it stands now that is not likely to ever happen .",noHate,"thats good i wish there was someone standing for my interests where i live , but as it stands now that is not likely to ever happen ."
"Peter was drafted to the army , as he said .",noHate,"peter was drafted to the army , as he said ."
"It looks like a good kind of army , with occasional internet access .",noHate,"it looks like a good kind of army , with occasional internet access ."
Hello Oleg If I did not know I would have thought it is a picture of one of our boer families here in south africa : - ) regards joe,noHate,hello oleg if i did not know i would have thought it is a picture of one of our boer families here in south africa    regards joe
"YouTube - Teacher Attacked for Being White 9 year old attacks white teacher , explicitly `` because she was white . ''",noHate,"youtube  teacher attacked for being white  year old attacks white teacher , explicitly  because she was white ."
This is the `` 4th attack on a teacher in the last 2 weeks . '',noHate,this is the  th attack on a teacher in the last  weeks .
See thread `` Racially motivated attacks on white teachers '' : 9 middle schoolers beat a white woman ( teacher ? ) on a bus on the way to school .,noHate,see thread  racially motivated attacks on white teachers    middle schoolers beat a white woman  teacher ?  on a bus on the way to school .
Those who are interested in this subject and who are Sustaining Members may find the following thread to be of interest also : https : //www.stormfront.org/forum/show ... ml#post5825477,noHate,those who are interested in this subject and who are sustaining members may find the following thread to be of interest also    www.stormfront.orgforumshow ... mlpost
"Thank you for your kind words toward my nation , my friend You are always welcome here - as a friend and as a brother ... we will see each other on WNN also",noHate,"thank you for your kind words toward my nation , my friend you are always welcome here  as a friend and as a brother ... we will see each other on wnn also"
Yes he is very sick person with identity crisis who need therapy .,noHate,yes he is very sick person with identity crisis who need therapy .
He live on forums all day because he have no job .,noHate,he live on forums all day because he have no job .
They all have guns and are trained in martial arts .,noHate,they all have guns and are trained in martial arts .
I do n't know about you but I rather fight a 2m swedish male than a 1.70m asian kung fu expert .,noHate,i do nt know about you but i rather fight a m swedish male than a .m asian kung fu expert .
Size rarely matters .,noHate,size rarely matters .
That is one Ugly Picture !!,noHate,that is one ugly picture !!
Why on earth are the swedish parents letting their Kids grow up in an ethnic school !,hate,why on earth are the swedish parents letting their kids grow up in an ethnic school !
That Ca n't be good !!,noHate,that ca nt be good !!
I'll be over in Riga in a few days .,noHate,ill be over in riga in a few days .
Anyone like to meet for a drink - I 'd love to say hello ! ( pm me or reply here ),noHate,anyone like to meet for a drink  i d love to say hello !  pm me or reply here
Can someone suggest any reliable online sources for information on the anthropological classifications of the different populations in the Scandinavian / Baltic countries ?,noHate,can someone suggest any reliable online sources for information on the anthropological classifications of the different populations in the scandinavian  baltic countries ?
Thank you .,noHate,thank you .
So you would refuse even other Nordic whites fleeing the brown chaos in the south ?,hate,so you would refuse even other nordic whites fleeing the brown chaos in the south ?
Not that I would pick Finland though .,noHate,not that i would pick finland though .
That picture was truly revolting .,noHate,that picture was truly revolting .
It does n't matter how you dress up a mud .,hate,it does nt matter how you dress up a mud .
A mud is a mud is a mud that 's all there is to it .,hate,a mud is a mud is a mud that s all there is to it .
We all know who is responsible for this .,noHate,we all know who is responsible for this .
"""....she was a Gypsie woman ..... "" , i like Black Sabbath but i dont like Gypsies .",noHate,"she was a gypsie woman .....  , i like black sabbath but i dont like gypsies ."
